codigo;nombre;DEBE
36;TORRE LOAYZA;
49;ALANTUYA;
62;BELLA VISTA;
35;BUTRON CARVAJAL;
64;CAMARA DISTRITAL DE DESPACHANTES DE ADUANA ORURO(EX FAMILIA CALZADILLA);
39;CAPILLA SAN PEDRO;
33;CLINICA CAJA DE SEGURO DE CAMINOS (EX_TORRES DEL POETA);
34;CLINICA CAJA SEGURO DE CAMINOS ORURO;
25;CLINICA SAN AGUSTIN;
8;COLLARETA;
15;COMERCIAL MARBEL;1
20;COMPLEJO TURISTICO FLORES PLAZA;
37;CONSTRUCTORA SIPCON SRL;
63;COPA;
31;COPACABANA;
51;DIVINA MISERICORDIA;
18;DON BETO;
54;EDIFICO ANEXO B TRIBUNAL DEPARTAMENTAL ORURO;
7;EL FOGON (HOTEL OPORTO);
40;ELIZABETH LUNA (LUNA OVANDO);
9;ESPINOZA;
41;FACULTAD ARQUITECTURA Y URBANISMO ORURO;
52;FAMILIA MENCHACA;
59;FAMILIA RODRIGUEZ;
43;FAMILIA VILLARROEL;
17;FAMILIAR SALVATIERRA;
11;FERMIN NICOLAS;
13;FLORES PLAZA HOTEL;1
61;GALERIA CENTRAL ORURO;
3;GIRASOLES ORURO;
56;GONLY;
28;HOSPITAL OBRERO;1
27;HOSPITAL ORURO COREA (KOIKA);
5;HOSPITAL SANTA MARIA HUANUNI;
22;INDABURO II (TEMPLO MORMONES);
1;KENI;
45;MAFER II;
16;MAGALY (CANDELARIA);
10;MENA;
50;MULTIFAMILIAR MAKER;
60;MULTIFAMILIAR MAKER (MONTACARGAS);
23;MYERS;
44;ORGANO JUDICIAL LLALLAGUA;
55;ORGANO JUDICIAL ORURO;
58;RENE VENTURA;
14;REY DAVID;
38;RIOS;
47;SAN MIGUEL;
21;SAN PEDRO;
6;SEDUCA BLOQUE B;
57;SEMCO (EX CONDOMINIO EL MANANTIAL);
30;SEÑOR DE SANTIAGO;
42;SILVER ORURO;
24;TERRAZAS;
46;TORRE ALBA;
32;TORRE IBIZA;
53;TORRE THB;
2;TORRES MORGANA;
48;UNIDAD EDUCATIVA ABOPANE;
26;UPAL ORURO;
19;VILLEGAS (ACACIAS);
4;VIRGEN DEL SOCAVON;
12;ZAMBRANA;
