codigo;nombre;DEBE
696;(NADIA FANNY) REYES;
914;2116;
1;4 HERMANOS;
2;8 DE AGOSTO;
3;9 DE ABRIL;1
4;A&M;
1018;ACACIA III (Ex Villa Verde fase II);
1052;ACACIA III (EX VILLA VERDE);
5;ACOSTA;
750;ADONAI;
854;ADUANA NACIONAL;
611;ADUANA NACIONAL (TORRE LEON);
1048;AEROPUERTO COBIJA (EX VILLA VERDE);
760;AGB;
982;AGUA MARIN;
627;AJA NACIONAL DE SALUD MATERNO INFANTIL;
1057;ALBA;
6;ALBACETE;
859;ALBERI;
969;ALBORADA;
7;ALCALA;
8;ALCALA - JARANDILLA;
913;ALIATEL;
9;ALICIA;
10;ALTAVISTA;
688;ALTAVISTA BLOQUE A A;
689;ALTAVISTA BLOQUE A B;
690;ALTAVISTA BLOQUE B A;
691;ALTAVISTA BLOQUE B B;
853;ALTUQALA DESIGN HOTEL (HOSTAL ALARCON);
11;ALVAREZ;
12;AMANECER;
990;AMARANTA;
886;AMISTAD;
706;AMMY;
822;ANAHI;
874;ANDRES SILES;
669;ANTALYA (EX TOLEDO ROJAS);
20;ANTARES (ASTURIZAGA);
1017;AOSA ALTO OBRAJES;
801;AREA VERDE;
14;ARGENTINA;
15;ARKANSAS;
16;ARMADA BOLIVIANA;
18;ARUBA;
19;ASFI;1
21;ATEMA;
22;ATLANTA;
23;ATLANTIS LOS PINOS 01 - TERAN;
1011;AURELIA;
837;AUTOMOVIL CLUB;
1033;AUTORED;
998;AYDE (TORREZ);
753;B 19;
772;B 19 MONTACARGAS;
925;BANCO FIE;
827;BANCO NACIONAL DE BOLIVIA;
25;BANCO UNION;
26;BARCELONA;
798;BASAURE I;
514;BEATRIZ;
27;BELFORT;
1019;BELFORT (RAFAEL GUZMAN);
797;BELLA ROSA;
441;BELLA VISTA;
28;BELLOT SAENZ;
24;BENJAMIN;
1055;BENJAMIN (EDWIN AYAVIRI);
809;BENOIT;
504;BETTY CALDERON;
29;BICENTENARIO;
453;BLANCA ANDINA;
417;Blue;
1059;BOLIVIAN ELECTRIC;
671;BOLSA BOLIVIANA DE VALORES A;
672;BOLSA BOLIVIANA DE VALORES B;
815;BONI;
710;BONI;
31;BOSTON;
