codigo;nombre;DEBE
699;;
542;207221;
571;24 DE SEPTIEMBRE;
573;24 DE SEPTIEMBRE A;
572;24 DE SEPTIEMBRE B;
785;4 DE NOIEMBRE;
786;4 DE NOVIEMBRE;
2;ACACIAS;
5;ACRICOLOR;
740;ACUARIO;
6;ADUANA;
109;ADUANA (DONA LUCY);
782;AEROPUERTO CHIMORE EX ZABALA;
783;AEROPUERTO VIRU VIRU SABSA;
304;AGROINDUSTRIAL SAN JUAN;
7;AGUA MARINA;
8;AGUAI;1
872;AGUAZU;
391;AGUILAR;
9;AGUILERA;
422;ALANIS CUBA (TEJADA);
801;ALANTUYA (STOCK L);
10;ALCALA;
470;ALEJANDRA;
400;ALEJANDRIA;1
11;ALGARAÑAZ;
12;ALGE;
13;ALICANTE;
737;ALMORA;
14;ALTAMIRA;
436;ALTILLO BENI;
856;ALVAREZ;
631;AMBASSADOR;1
715;ANA ROSA;
15;ANDAR MOTORS;
687;ANDREA (BENI);
16;ANDREA (URBARI);
667;ANFEN;
17;ANTHEA;1
18;ANTHONY;
20;AQUA;
122;ARCUS (EQUIPETROL);
22;ARETE;
411;ARGAMOZA;
592;ATLANTIS;
23;AUAD;1
243;AUTOLIDER (OVANDO);1
635;AUTOLIDER MONTACARGAS (OVANDO HiDRAL);
244;AUTOLIDER MONTACOCHE (OVANDO HIDRAL);
24;AVICOLA EL PICHON;
588;AXEL´S;
25;BABY CORP;
26;BANCO BISA;1
458;BANCO ECONOMICO CENTRAL 36408;1
836;BANCO ECONOMICO SUC. BANZER;
181;BANCO FASSIL (LANROSS);
27;BANDURRIAS;
442;barcelo;
743;BARRIENTOS;
870;BARRIO NORTE;
28;BARU;
469;BARUC;
31;BECAR;1
32;beit jala;1
845;BELLO MILANO;
33;BENEVENTO;
529;BIODENT;
498;BISA SEGUROS Y REASEGUROS S.A;
779;BIZET;
518;BLOCK;
742;BOLIVIANA CIACRUZ (VILLA GERMANIA);
812;BRICKELL I;
811;BRICKELL II;
401;BRINKS TACUARAL;
839;BUSINESS AND HEALTH;
840;BUSINESS AND HEALTH MONTACOCHE;
551;C.N.S MATERNO INFANTIL;
550;C.N.S OFICINAS;1
36;C.N.S. HOSPITAL OBRERO;
37;C.N.S. MONTAPLATOS;
67;CAJA BANCARIA (CLINICA NUCLEAR);1
196;CAJA CORDES (LIDIA MENDOZA);1
456;CAJA NACIONAL DE LA BANCA PRIVADA;
823;CAJA PETROLERA DE TRINIDAD (STOCK J);
815;CAJA PETROLERA EMBARBA (Emergencia);
38;CAJA PETROLERA ORONA (Oficina Adm.);1
814;CAJA PETROLERA THYSSENKRUPP (Recepcion y Cocina);
816;CAJA PETROLERA WITTUR (Manternidad dos Juntos);
39;CALLEJAS;1
40;CAMILA;
41;CAMINETTO;1
461;CAMINO REAL;
676;CANDELARIA;
115;CAPELLA E.N.;
530;CAPILLA EL CARMEN (COPIJSU-MORMONES);
627;CARACOLES A;
628;CARACOLES B;
867;CAROLE;
29;CASA PARAISO (BASCOPE);
748;CASONA MUNICIPAL;
42;CASTILLA;
849;CATALINA RESOL;
43;CBA;
752;CBA BALLIVIAN;
407;CEDE CAFH;
722;CEDISA;
799;CELIA;
829;CENTRO COMERCIAL ABUNA;
44;CENTRO COMERCIAL NORTE;
45;CENTRO COMERCIAL SANTIAGO A (BIG SUR);
46;CENTRO COMERCIAL SANTIAGO B (BIG SUR);
47;CENTRO COMERCIAL SANTIAGO ESC (BIG SUR);
48;CENTRO COMERCIAL URUBO;
49;CENTRO COMERCIAL URUBO ESC.;
35;CENTRO DE LA MUJER RENGEL (C.E.M);
570;CENTRO PARA EL ADULTO MAYOR MI NUEVO HOGAR;
677;CENTRO TERAPEUTICO DE REHABILITACION;
543;CHICO;
547;CHICOCOS;
51;CHIQUITANA;
52;CHIQUITANA C;
53;CHRONOS;
54;CINE CENTER ASCENSORES;1
55;CINE CENTER ESCALERAS;1
584;CINE CENTER TARIJA;1
585;CINE CENTER TARIJA B;
643;CINE CENTER TARIJA ESCALERA A;
644;CINE CENTER TARIJA ESCALERA B;
645;CINE CENTER TARIJA ESCALERA C;
646;CINE CENTER TARIJA ESCALERA D;
56;CIRCULO DE AMIGOS;
271;CLARO DE LUNA (CLINICA ROCA);
528;CLAROS;
57;CLAUDIO ESCOBAR;
657;CLINICA ANDREA;
397;CLINICA BRAZIL ( CLINICA DEL HIGADO - ALVAREZ );
59;CLINICA BUENA SALUD;
424;CLINICA CHIHUAHUA;
61;CLINICA ECODENT;
478;CLINICA INCOR (HIDRAL);
63;CLINICA INCOR CENTRAL;
64;CLINICA INCOR II;
65;CLINICA MONTALVO;1
58;CLINICA MONTALVO (PONCE LEON);
66;CLINICA NUCLEAR II;1
842;CLINICA ODONTOKING;
68;CLINICA SUIZA (RIVERA) (parado Cliente);
69;COACOM;
70;COLINAS DEL URUBO (OBRA 2007 GUIDO BRAVO);
71;COLOMBIA;
590;COMERCIAL 24 DE SEPTIEMBRE;
639;COMERCIAL DENICE;
523;COMERCIAL EL REY;
692;COMERCIAL FUENTES;
537;COMERCIAL JDE (CAVERO);
675;COMERCIAL RODRIGUEZ;
668;COMERCIAL ROFRIGUEZ;
669;COMERCIAL RORIGUEZ;
